timestamp,hour,day_of_week,month,consumption_kwh
2025-01-01 00:00:00,0,2,1,1.2497969217708906
2025-01-01 01:00:00,1,2,1,0.9446942795315262
2025-01-01 02:00:00,2,2,1,1.3101866758066745
2025-01-01 03:00:00,3,2,1,1.8101738368865523
2025-01-01 04:00:00,4,2,1,1.3456784783308442
2025-01-01 05:00:00,5,2,1,1.6563452172203277
2025-01-01 06:00:00,6,2,1,4.743456558549175
2025-01-01 07:00:00,7,2,1,4.806973891661164
2025-01-01 08:00:00,8,2,1,4.700438813279801
2025-01-01 09:00:00,9,2,1,5.467024017434386
2025-01-01 10:00:00,10,2,1,3.3752930946548365
2025-01-01 11:00:00,11,2,1,3.6127462042485554
2025-01-01 12:00:00,12,2,1,4.045673648060016
2025-01-01 13:00:00,13,2,1,3.234687902136881
2025-01-01 14:00:00,14,2,1,3.2589216064283892
2025-01-01 15:00:00,15,2,1,3.574123093980269
2025-01-01 16:00:00,16,2,1,3.1555277236460517
2025-01-01 17:00:00,17,2,1,6.37569893303811
2025-01-01 18:00:00,18,2,1,5.525018937445298
2025-01-01 19:00:00,19,2,1,4.9350785194658835
2025-01-01 20:00:00,20,2,1,5.69803093991484
2025-01-01 21:00:00,21,2,1,4.659689479805386
2025-01-01 22:00:00,22,2,1,4.466351110095348
2025-01-01 23:00:00,23,2,1,0.6310626198379595
2025-01-02 00:00:00,0,3,1,0.8333581707563245
2025-01-02 01:00:00,1,3,1,1.0443690358839464
2025-01-02 02:00:00,2,3,1,0.5907138295974763
2025-01-02 03:00:00,3,3,1,1.3512411016616108
2025-01-02 04:00:00,4,3,1,1.1990843522526566
2025-01-02 05:00:00,5,3,1,1.6333225000826892
2025-01-02 06:00:00,6,3,1,3.8710887874544597
2025-01-02 07:00:00,7,3,1,5.240911273803575
2025-01-02 08:00:00,8,3,1,4.8828296777586075
2025-01-02 09:00:00,9,3,1,4.82691562841764
2025-01-02 10:00:00,10,3,1,3.889678136621097
2025-01-02 11:00:00,11,3,1,3.3107006456882493
2025-01-02 12:00:00,12,3,1,4.032434177435505
2025-01-02 13:00:00,13,3,1,3.21613195044809
2025-01-02 14:00:00,14,3,1,3.41761431987423
2025-01-02 15:00:00,15,3,1,3.8777826000243074
2025-01-02 16:00:00,16,3,1,3.8560468037779856
2025-01-02 17:00:00,17,3,1,6.318547312475988
2025-01-02 18:00:00,18,3,1,5.841969254698485
2025-01-02 19:00:00,19,3,1,5.3795585217642845
2025-01-02 20:00:00,20,3,1,4.5203626361992475
2025-01-02 21:00:00,21,3,1,4.4620623166421165
2025-01-02 22:00:00,22,3,1,4.255084319836264
2025-01-02 23:00:00,23,3,1,1.6238107848109085
2025-01-03 00:00:00,0,4,1,1.188558576393782
2025-01-03 01:00:00,1,4,1,0.2947839378549064
2025-01-03 02:00:00,2,4,1,1.1807448483243155
2025-01-03 03:00:00,3,4,1,1.0469289821568153
2025-01-03 04:00:00,4,4,1,1.168571028097795
2025-01-03 05:00:00,5,4,1,1.994670515536347
2025-01-03 06:00:00,6,4,1,4.5241712413445985
2025-01-03 07:00:00,7,4,1,4.872512047646479
2025-01-03 08:00:00,8,4,1,4.552541558364726
2025-01-03 09:00:00,9,4,1,5.126315049659514
2025-01-03 10:00:00,10,4,1,3.693165544341247
2025-01-03 11:00:00,11,4,1,4.189256156525602
2025-01-03 12:00:00,12,4,1,3.7572190442954865
2025-01-03 13:00:00,13,4,1,3.925736409334473
2025-01-03 14:00:00,14,4,1,3.5063547498311913
2025-01-03 15:00:00,15,4,1,3.3205554560443895
2025-01-03 16:00:00,16,4,1,3.8856705007375005
2025-01-03 17:00:00,17,4,1,6.792496011428329
2025-01-03 18:00:00,18,4,1,5.859424519021648
2025-01-03 19:00:00,19,4,1,5.901413159156809
2025-01-03 20:00:00,20,4,1,5.256425842365272
2025-01-03 21:00:00,21,4,1,4.491952098157951
2025-01-03 22:00:00,22,4,1,4.583898070423545
2025-01-03 23:00:00,23,4,1,1.81617652090973
2025-01-04 00:00:00,0,5,1,1.836780844922417
2025-01-04 01:00:00,1,5,1,2.4258574623256024
2025-01-04 02:00:00,2,5,1,0.8032132189304997
2025-01-04 03:00:00,3,5,1,2.3297228960734313
2025-01-04 04:00:00,4,5,1,2.274158655515447
2025-01-04 05:00:00,5,5,1,2.430397059813653
2025-01-04 06:00:00,6,5,1,4.94847574296042
2025-01-04 07:00:00,7,5,1,4.504972434159643
2025-01-04 08:00:00,8,5,1,5.600359812518777
2025-01-04 09:00:00,9,5,1,6.192845028604698
2025-01-04 10:00:00,10,5,1,4.951817789676428
2025-01-04 11:00:00,11,5,1,4.391730018367199
2025-01-04 12:00:00,12,5,1,4.425491298276327
2025-01-04 13:00:00,13,5,1,4.599297182566185
2025-01-04 14:00:00,14,5,1,5.115049586514432
2025-01-04 15:00:00,15,5,1,4.730538549540531
2025-01-04 16:00:00,16,5,1,4.1487560902730065
2025-01-04 17:00:00,17,5,1,7.255306973245342
2025-01-04 18:00:00,18,5,1,6.727059587392998
2025-01-04 19:00:00,19,5,1,6.687457996213156
2025-01-04 20:00:00,20,5,1,5.630950194795277
2025-01-04 21:00:00,21,5,1,5.418935141360892
2025-01-04 22:00:00,22,5,1,5.082496566967316
2025-01-04 23:00:00,23,5,1,1.4155559150704948
2025-01-05 00:00:00,0,6,1,1.969559371392228
2025-01-05 01:00:00,1,6,1,1.9044221088719557
2025-01-05 02:00:00,2,6,1,1.853156643223382
2025-01-05 03:00:00,3,6,1,1.907127040973283
2025-01-05 04:00:00,4,6,1,1.673191531400013
2025-01-05 05:00:00,5,6,1,2.381741870893856
2025-01-05 06:00:00,6,6,1,4.77468562573551
2025-01-05 07:00:00,7,6,1,4.979089092311352
2025-01-05 08:00:00,8,6,1,5.623714282987378
2025-01-05 09:00:00,9,6,1,6.211620342725816
2025-01-05 10:00:00,10,6,1,5.115134532264034
2025-01-05 11:00:00,11,6,1,4.668869230809394
2025-01-05 12:00:00,12,6,1,4.851908895722708
2025-01-05 13:00:00,13,6,1,4.770221633693533
2025-01-05 14:00:00,14,6,1,3.9813802533139855
2025-01-05 15:00:00,15,6,1,4.588432555496971
2025-01-05 16:00:00,16,6,1,4.384752255756232
2025-01-05 17:00:00,17,6,1,8.035296844994114
2025-01-05 18:00:00,18,6,1,6.611284181741333
2025-01-05 19:00:00,19,6,1,6.420618936933445
2025-01-05 20:00:00,20,6,1,5.897886724464121
2025-01-05 21:00:00,21,6,1,5.082528784952187
2025-01-05 22:00:00,22,6,1,5.696468954026187
2025-01-05 23:00:00,23,6,1,2.301735107398052
2025-01-06 00:00:00,0,0,1,1.3675240393836163
2025-01-06 01:00:00,1,0,1,0.6362450180821044
2025-01-06 02:00:00,2,0,1,1.6122289849408373
2025-01-06 03:00:00,3,0,1,0.6402214692064296
2025-01-06 04:00:00,4,0,1,1.6740826657402867
2025-01-06 05:00:00,5,0,1,2.6261822503239913
2025-01-06 06:00:00,6,0,1,3.715556902293943
2025-01-06 07:00:00,7,0,1,4.273480908158891
2025-01-06 08:00:00,8,0,1,4.928089113688838
2025-01-06 09:00:00,9,0,1,5.0486097383535204
2025-01-06 10:00:00,10,0,1,2.9403947993533683
2025-01-06 11:00:00,11,0,1,3.8264632955990687
2025-01-06 12:00:00,12,0,1,3.5239672539431606
2025-01-06 13:00:00,13,0,1,4.1894369722540725
2025-01-06 14:00:00,14,0,1,3.581119045740081
2025-01-06 15:00:00,15,0,1,4.419011867683674
2025-01-06 16:00:00,16,0,1,3.2473588548453267
2025-01-06 17:00:00,17,0,1,6.1211753935177295
2025-01-06 18:00:00,18,0,1,6.21363545460165
2025-01-06 19:00:00,19,0,1,5.007654273426418
2025-01-06 20:00:00,20,0,1,5.20275540618787
2025-01-06 21:00:00,21,0,1,5.2728571017129715
2025-01-06 22:00:00,22,0,1,3.796346534395688
2025-01-06 23:00:00,23,0,1,1.274815437736264
2025-01-07 00:00:00,0,1,1,1.1550643782657668
2025-01-07 01:00:00,1,1,1,1.312729148710924
2025-01-07 02:00:00,2,1,1,0.5563309762151647
2025-01-07 03:00:00,3,1,1,0.6727792490896315
2025-01-07 04:00:00,4,1,1,1.6481164544669378
2025-01-07 05:00:00,5,1,1,1.8687938692932744
2025-01-07 06:00:00,6,1,1,4.211968572484569
2025-01-07 07:00:00,7,1,1,4.638579283798791
2025-01-07 08:00:00,8,1,1,4.616218679022385
2025-01-07 09:00:00,9,1,1,5.342901478864402
2025-01-07 10:00:00,10,1,1,3.677889161099294
2025-01-07 11:00:00,11,1,1,3.513297538466111
2025-01-07 12:00:00,12,1,1,4.695198543891506
2025-01-07 13:00:00,13,1,1,4.189533168364715
2025-01-07 14:00:00,14,1,1,3.472367340552543
2025-01-07 15:00:00,15,1,1,4.06165954913019
2025-01-07 16:00:00,16,1,1,3.170787503688893
2025-01-07 17:00:00,17,1,1,6.564833841496981
2025-01-07 18:00:00,18,1,1,6.351666799256743
2025-01-07 19:00:00,19,1,1,5.171727072659316
2025-01-07 20:00:00,20,1,1,5.497121884043947
2025-01-07 21:00:00,21,1,1,4.915112370774599
2025-01-07 22:00:00,22,1,1,4.768163892217975
2025-01-07 23:00:00,23,1,1,1.9596790873849212
2025-01-08 00:00:00,0,2,1,0.9529560141652493
2025-01-08 01:00:00,1,2,1,0.6985055342570041
2025-01-08 02:00:00,2,2,1,0.6953054887161881
2025-01-08 03:00:00,3,2,1,0.8746377803371667
2025-01-08 04:00:00,4,2,1,1.408499144454537
2025-01-08 05:00:00,5,2,1,1.8864607899266574
2025-01-08 06:00:00,6,2,1,4.222447752078226
2025-01-08 07:00:00,7,2,1,4.830873299614409
2025-01-08 08:00:00,8,2,1,4.893429324404944
2025-01-08 09:00:00,9,2,1,5.831413630862927
2025-01-08 10:00:00,10,2,1,3.454797438484639
2025-01-08 11:00:00,11,2,1,4.8871057723125055
2025-01-08 12:00:00,12,2,1,4.199155678539605
2025-01-08 13:00:00,13,2,1,3.657136977433487
2025-01-08 14:00:00,14,2,1,3.5205317402091576
2025-01-08 15:00:00,15,2,1,3.992027071773932
2025-01-08 16:00:00,16,2,1,3.471275057649481
